source	target	weight	resources
TP53	HOXA10	1.0	ExTRI
HOXA10	TP53	1.0	ExTRI;GEREDB;TRRUST
ESR1	HOXA10	1.0	DoRothEA-A;HTRI
HOXA10	ESR1	1.0	ExTRI
MYOG	MEF2C	1.0	GEREDB
MEF2C	MYOG	1.0	ExTRI;GEREDB;Pavlidis2021
SP1	MVP	1.0	ExTRI
FOXO3	PDK4	1.0	ExTRI;NTNU.Curated
NR3C1	PDK4	1.0	ExTRI;NTNU.Curated
IRF9	INS	1.0	ExTRI
IRF9	SST	1.0	ExTRI
NEUROG3	INS	1.0	ExTRI;GEREDB;NTNU.Curated
NEUROG3	SST	1.0	ExTRI;GEREDB
PAX6	GCK	1.0	ExTRI;Pavlidis2021
NR2F1	COL7A1	1.0	ExTRI;NTNU.Curated
RELA	CHUK	1.0	ExTRI
RELA	MAP3K14	1.0	ExTRI
CEBPG	RTN4	1.0	ExTRI
CEBPB	BTK	1.0	ExTRI
ISL2	INS	1.0	ExTRI;GEREDB
HIF1A	TIMP1	1.0	ExTRI;TFactS
NFKB1	TGFB1	-1.0	ExTRI;NTNU.Curated;TRRUST
ELF4	LUM	1.0	ExTRI
TP53	LUM	1.0	ExTRI
ELF4	FASLG	1.0	ExTRI
JUN	EFHD2	1.0	ExTRI
RUNX1	TIMP1	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
RUNX2	TIMP1	1.0	ExTRI;NTNU.Curated
RUNX1	JUND	1.0	ExTRI
TP53	HSP90AB1	-1.0	ExTRI;TFactS;TRRUST
CREB1	SLC2A3	1.0	ExTRI;NTNU.Curated
YBX1	SLC2A3	1.0	ExTRI
SP3	SLC2A3	1.0	ExTRI;GEREDB
EBF1	STMN2	1.0	ExTRI
STAT5B	IGF1R	1.0	ExTRI
STAT1	RB1	1.0	ExTRI
STAT5B	RB1	1.0	ExTRI
FOS	DRD1	1.0	ExTRI
NKX6-1	NKX6-1	1.0	ExTRI
SRF	BCL2	1.0	ExTRI;NTNU.Curated
IRF1	CXCL8	1.0	CytReg;ExTRI
STAT1	CXCL8	-1.0	ExTRI;NTNU.Curated;TFactS
TP53	CAT	1.0	ExTRI;NTNU.Curated
TP53	PRDX6	1.0	ExTRI
TP53	SLC2A1	-1.0	DoRothEA-A;ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST
TP53	SLC2A4	-1.0	ExTRI;SIGNOR
TP53	ABCC3	1.0	ExTRI;TFactS
GATA4	IGF1	1.0	ExTRI
FOXL2	STAR	-1.0	ExTRI;GEREDB;SIGNOR;TRRUST
CEBPB	KRT15	1.0	ExTRI
TFAP2A	ADD1	1.0	ExTRI
ASCL1	BUB1	1.0	ExTRI;NTNU.Curated
ESR1	S100G	1.0	ExTRI;GEREDB
PAX8	HHEX	1.0	ExTRI
APEX1	HHEX	1.0	ExTRI
SSRP1	HHEX	1.0	ExTRI
NR4A1	CRH	1.0	ExTRI
NR4A2	POMC	1.0	ExTRI;NTNU.Curated
NFKB1	ISG20	1.0	ExTRI;NTNU.Curated
RELA	ISG20	1.0	ExTRI;NTNU.Curated
PPARG	GADD45A	1.0	ExTRI;GEREDB;NTNU.Curated
VDR	CDKN1B	1.0	DoRothEA-A;ExTRI;HTRI;TRRUST
E2F1	LRBA	1.0	ExTRI;NTNU.Curated;SIGNOR;TRRUST
BHLHE40	CYP51A1	1.0	ExTRI
BHLHE41	CYP51A1	1.0	ExTRI
BHLHE40	CYP7A1	1.0	ExTRI
BHLHE41	CYP7A1	1.0	ExTRI;NTNU.Curated
DBP	CYP7A1	1.0	ExTRI;NTNU.Curated;SIGNOR;TRRUST
TBR1	GRIN2B	1.0	ExTRI
MAZ	CDKN1A	1.0	ExTRI;NTNU.Curated
HNF1B	PKHD1	1.0	ExTRI;NTNU.Curated
HNF1A	PKHD1	1.0	ExTRI;NTNU.Curated
PPARG	BCL2	1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TRRUST
PPARA	AGT	1.0	ExTRI;GEREDB;NTNU.Curated
PPARA	ANG	1.0	ExTRI;NTNU.Curated
RELA	HSD17B1	-1.0	ExTRI;NTNU.Curated
RELA	PRL	1.0	ExTRI
SP1	CYP19A1	1.0	DoRothEA-A;ExTRI;HTRI;TRRUST
STAT3	CYP19A1	1.0	ExTRI;NTNU.Curated;TRRUST
TRERF1	CYP17A1	1.0	ExTRI;GEREDB
GLI3	SMO	1.0	ExTRI;Pavlidis2021;TRRUST
MEF2C	BMP10	1.0	ExTRI
PPARG	INSIG1	1.0	ExTRI;NTNU.Curated
TEAD4	VEGFA	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
HTATIP2	MYC	1.0	ExTRI
HTATIP2	ESR1	1.0	ExTRI
NRG1	PA2G4	1.0	ExTRI
FOS	ACP5	1.0	ExTRI
FOS	NFATC1	1.0	ExTRI;NTNU.Curated
AHR	MMP1	1.0	ExTRI;GEREDB
EZH2	CCNA2	1.0	ExTRI
EZH2	RBL2	1.0	ExTRI
MYC	PRKN	1.0	ExTRI
MYCN	PRKN	-1.0	ExTRI;NTNU.Curated
NFKB1	IL2	1.0	CytReg;DoRothEA-A;ExTRI;TFactS;TRRUST
HESX1	NPPB	1.0	ExTRI
NR3C2	NPPB	1.0	ExTRI
TP63	LYN	1.0	ExTRI
MYC	CSN2	1.0	ExTRI
JUN	MOS	1.0	ExTRI
SOX7	FGF3	1.0	ExTRI;NTNU.Curated;TFactS
SOX2	FGF3	-1.0	ExTRI;NTNU.Curated;TFactS
MEF2A	SNCG	1.0	ExTRI
SALL2	CDKN1A	1.0	ExTRI;NTNU.Curated
JUNB	MMP13	1.0	ExTRI;NTNU.Curated
SMAD3	MMP13	1.0	ExTRI;GEREDB;NTNU.Curated
ETS1	CDK11B	1.0	ExTRI;NTNU.Curated;TFactS
GLI1	PTCH1	1.0	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TFactS
GLI2	PTCH1	1.0	ExTRI;GEREDB;NTNU.Curated;Pavlidis2021;SIGNOR;TFactS
GLI3	PTCH1	1.0	ExTRI;GEREDB;NTNU.Curated;Pavlidis2021;SIGNOR
ESR1	PELP1	1.0	ExTRI;TRRUST
ESR2	PELP1	1.0	ExTRI;TRRUST
ZNF354C	ITGAD	1.0	ExTRI
KLF10	ITGAD	1.0	ExTRI;GOA;NTNU.Curated;TRRUST
TP53	PPP1R13B	1.0	ExTRI
SP3	RECK	1.0	ExTRI;TRRUST
MAZ	PREB	1.0	ExTRI
MAZ	RAG2	1.0	ExTRI
MYC	EIF4E	1.0	DoRothEA-A;ExTRI;HTRI;TFactS
TBX5	TBX5	1.0	ExTRI
PAX6	CTCF	1.0	ExTRI
CTCF	PAX6	-1.0	ExTRI;GEREDB;TRRUST
CTCF	MPZ	1.0	ExTRI;NTNU.Curated
PAX6	MPZ	1.0	ExTRI
CEBPB	CD1D	1.0	ExTRI
LEF1	CD1D	-1.0	ExTRI;NTNU.Curated;TRRUST
TCF7	CD1D	1.0	ExTRI;NTNU.Curated
TP53	COP1	1.0	ExTRI
OTX2	SHH	1.0	ExTRI;GEREDB
E2F1	SIVA1	1.0	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
TP53	SIVA1	1.0	ExTRI;GEREDB;TFactS;TRRUST
MYB	DHRS2	1.0	ExTRI;NTNU.Curated;TRRUST
MYBL1	DHRS2	1.0	ExTRI;NTNU.Curated;TRRUST
SMARCA1	PLK1	1.0	ExTRI
E2F4	PLK1	-1.0	DoRothEA-A;ExTRI;NTNU.Curated;TRRUST
PDX1	GLB1	1.0	ExTRI
RUNX2	IHH	1.0	ExTRI;NTNU.Curated;TRRUST
FOXC1	CNMD	1.0	ExTRI
SP3	CNMD	1.0	ExTRI;TRRUST
MAFK	CDKN2C	1.0	ExTRI
RUNX2	VEGFA	1.0	ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST
DMTF1	DMP1	1.0	ExTRI
CEBPG	APOA1	1.0	ExTRI
CEBPG	APOC3	1.0	ExTRI
PAX3	REG1A	1.0	ExTRI
ATF4	RPS6KA3	1.0	ExTRI
FOXO3	FBXO32	1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;SIGNOR
GATA1	TNFRSF10B	1.0	ExTRI;NTNU.Curated
MYB	TNFRSF10B	1.0	ExTRI
OTX2	NPPA	1.0	ExTRI
PAX6	OTX2	1.0	ExTRI
OTX2	PAX6	1.0	ExTRI;TRRUST
PAX6	NPPA	1.0	ExTRI
SOX1	HES1	-1.0	ExTRI;NTNU.Curated
CEBPB	CEBPG	1.0	ExTRI;NTNU.Curated
CEBPA	FABP4	1.0	ExTRI;NTNU.Curated
MEF2A	MAPK14	1.0	ExTRI;TRRUST
SP3	KDR	1.0	DoRothEA-A;ExTRI;HTRI;TRRUST
PPARG	KDR	1.0	ExTRI;NTNU.Curated
AHR	CDKN2A	1.0	ExTRI
PGR	CRH	-1.0	ExTRI;GEREDB;NTNU.Curated
ID1	SHBG	1.0	ExTRI
SOX17	ACHE	1.0	ExTRI
SOX17	CRYAB	1.0	ExTRI
SOX17	HSPB2	1.0	ExTRI
STAT3	MMP2	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
NFATC1	BCL2	1.0	ExTRI
TFAP2A	WDTC1	1.0	ExTRI
SP1	MIER1	1.0	ExTRI
MYCN	NES	1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated;TRRUST
SP3	SCT	1.0	DoRothEA-A;ExTRI;HTRI;TRRUST
SP3	NEUROD1	1.0	ExTRI
NEUROD1	SP3	1.0	ExTRI
TCF3	SP3	1.0	ExTRI
SP3	TCF3	1.0	ExTRI
SP1	SCT	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TRRUST
CEBPA	CPS1	1.0	ExTRI;NTNU.Curated
POU2F2	IVL	-1.0	ExTRI;GEREDB;NTNU.Curated
NR5A2	ABCG5	1.0	ExTRI;NTNU.Curated;TRRUST
NR5A2	ABCG8	1.0	ExTRI;NTNU.Curated;TRRUST
PDX1	PCIF1	1.0	ExTRI
MAFB	MAPK1	1.0	ExTRI
AHR	ATM	1.0	ExTRI
AHR	TNFRSF11A	1.0	ExTRI
GATA1	TAC3	1.0	ExTRI;NTNU.Curated
ESR1	TAC3	1.0	ExTRI;GEREDB;TRRUST
STAT2	SAMHD1	1.0	ExTRI
SREBF1	NR0B2	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
SREBF2	NR0B2	1.0	ExTRI;NTNU.Curated
SREBF1	CYP7A1	-1.0	ExTRI;NTNU.Curated
RUNX1	CSF2	1.0	CytReg;ExTRI;TRRUST
TP53	PRKACA	1.0	ExTRI
SREBF1	ADH1C	1.0	ExTRI;NTNU.Curated
FOXA2	ALAS2	1.0	ExTRI
FOXM1	ALAS2	1.0	ExTRI;NTNU.Curated
FOXA2	INS	1.0	ExTRI
NFIC	CYP2A6	1.0	ExTRI
HOXB13	CCND1	-1.0	ExTRI;GOA
HOXB13	MYC	-1.0	ExTRI;GEREDB
SP2	CEACAM1	-1.0	ExTRI;TRRUST
TBX22	INS	-1.0	ExTRI
PPARA	RETN	1.0	ExTRI;NTNU.Curated
KLF6	FHIT	1.0	ExTRI
KLF6	IGF1R	1.0	ExTRI;GEREDB;TRRUST
TP53	FHIT	1.0	ExTRI
KLF6	INSR	1.0	ExTRI
ELF1	CDKN1B	1.0	ExTRI
ELF1	RPS6KB1	1.0	ExTRI
GFI1B	GFI1	1.0	ExTRI
GFI1	GFI1B	1.0	DoRothEA-A;ExTRI;HTRI
GFI1	GFI1	1.0	ExTRI
PPARA	PPARA	1.0	ExTRI;HTRI;NTNU.Curated
DLX3	HSD3B1	1.0	ExTRI
TFAP2C	HSD3B1	1.0	ExTRI
TFAP2C	HSD3B2	1.0	ExTRI
AR	LATS2	1.0	ExTRI
PAX3	FCGRT	1.0	ExTRI
TP53	CXCL2	1.0	ExTRI
AR	SCAP	1.0	ExTRI;TFactS
USF2	GK	1.0	ExTRI;NTNU.Curated
USF1	GK	1.0	ExTRI
SP1	NES	1.0	ExTRI;GEREDB
SP3	NES	1.0	ExTRI
AR	NGF	1.0	ExTRI
CEBPD	NGF	1.0	ExTRI;GEREDB
CREB1	NGF	1.0	ExTRI;NTNU.Curated
TP53	ANKRD2	1.0	ExTRI
RUNX2	FGF3	1.0	ExTRI;NTNU.Curated
SPI1	ANP32A	1.0	ExTRI
PBX1	RHD	1.0	ExTRI
ETV4	CAV1	1.0	ExTRI;GEREDB;NTNU.Curated
ETV5	CAV1	1.0	ExTRI;NTNU.Curated
TCF3	CDKN2A	1.0	ExTRI;HTRI;NTNU.Curated
HAND2	COPS5	1.0	ExTRI
SP1	PHGDH	1.0	ExTRI;SIGNOR;TRRUST
NFAT5	SLC6A6	1.0	ExTRI
USF1	GHRL	1.0	ExTRI;NTNU.Curated
AR	HSD17B1	1.0	ExTRI
STAT3	PCDH8	1.0	ExTRI
NCOA1	CYP7A1	1.0	ExTRI;GEREDB;SIGNOR
SMARCA1	PPARG	1.0	ExTRI;NTNU.Curated
NR3C1	TLR2	1.0	ExTRI;NTNU.Curated
CTCF	IGF2	-1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;TRRUST
PAX6	IPO13	1.0	ExTRI
CRX	IPO13	1.0	ExTRI
PAX3	IPO13	1.0	ExTRI
EGR1	OSM	1.0	CytReg;ExTRI
ARNT	CYP1A2	1.0	ExTRI;GEREDB
ABL1	JUN	1.0	TRRUST
JUN	ABL1	1.0	ExTRI
JUN	BCR	1.0	ExTRI
IRF9	IFIT1	1.0	ExTRI
IRF9	IFNA1	1.0	ExTRI
IRF9	OAS1	1.0	ExTRI
ESR1	SERPINB5	1.0	ExTRI;GEREDB
NCOA3	FCER1G	1.0	ExTRI
BHLHE41	BHLHE41	1.0	ExTRI
BMAL2	BHLHE41	1.0	ExTRI;GEREDB
NR3C1	CHRNA7	1.0	ExTRI;NTNU.Curated
EWSR1	POU4F1	1.0	ExTRI;TRRUST
HNF1A	AGT	1.0	ExTRI;HTRI;NTNU.Curated
CEBPA	EPHX1	1.0	ExTRI;GEREDB;NTNU.Curated
CEBPA	NFYA	1.0	ExTRI
RELA	SIRT1	1.0	DoRothEA-A;ExTRI;HTRI;TRRUST
PRDM1	CD40	1.0	ExTRI
EGR1	ICAM1	1.0	ExTRI;NTNU.Curated
FOS	RELA	1.0	ExTRI
RELA	FOS	1.0	ExTRI;NTNU.Curated
TP53	PODXL	1.0	ExTRI
NR4A1	NR0B1	1.0	ExTRI
NR0B1	NR4A1	-1.0	ExTRI;GEREDB
NCOA1	NR4A1	1.0	ExTRI
NR1I3	CYP2C8	1.0	ExTRI
GATA1	HBD	1.0	ExTRI;NTNU.Curated
EPAS1	EGLN3	1.0	DoRothEA-A;ExTRI
HIF1A	EGLN3	1.0	DoRothEA-A;ExTRI;Pavlidis2021;TRRUST
RARA	ORM1	1.0	ExTRI;NTNU.Curated
RXRA	ORM1	1.0	ExTRI;NTNU.Curated
PPARG	C1QTNF3	1.0	ExTRI;NTNU.Curated
SP1	C1QTNF3	1.0	ExTRI;GEREDB;NTNU.Curated
POU1F1	C1QTNF3	1.0	ExTRI;NTNU.Curated
NR2F2	PYGM	1.0	ExTRI
FOS	NPY	1.0	ExTRI;GEREDB;TRRUST
TBX3	GJA5	-1.0	ExTRI;GEREDB
NKX2-5	GJA5	1.0	ExTRI;GOA
TBX3	NPPA	-1.0	ExTRI;GEREDB
TBX5	GJA5	1.0	ExTRI;TRRUST
SP1	FGF2	1.0	ExTRI;NTNU.Curated
SSRP1	FASLG	1.0	ExTRI
PAX6	IGBP1	1.0	ExTRI
PAX6	CRYAA	1.0	ExTRI;GEREDB;Pavlidis2021
KAT7	INS	1.0	ExTRI
ESR1	MTA3	1.0	ExTRI;TRRUST
TBP	EGF	1.0	ExTRI
NFKB1	MAP3K8	1.0	ExTRI
FOS	MYOCD	1.0	ExTRI
FOS	GAB2	1.0	ExTRI
NR0B2	GAB2	1.0	ExTRI
MEF2D	NR4A1	-1.0	ExTRI;NTNU.Curated
EGR3	ZNF354C	1.0	ExTRI
EGR3	NAB2	1.0	ExTRI;GEREDB;SIGNOR;TRRUST
NAB2	EGR3	-1.0	SIGNOR
HNF4G	GHR	1.0	ExTRI
NR2F2	GHR	1.0	ExTRI
SSRP1	CREBZF	1.0	ExTRI
ESR1	CREBZF	1.0	ExTRI
ESR1	ESR1	1.0	ExTRI;NTNU.Curated;TRRUST
KLF6	CDKN1A	1.0	ExTRI;TRRUST
NFATC3	SFTPD	1.0	ExTRI;GEREDB;GOA
TTF1	SFTPD	1.0	ExTRI
ESR1	FLT1	-1.0	ExTRI;NTNU.Curated;TRRUST
MEF2A	PHB2	1.0	ExTRI
MYOD1	PHB2	1.0	ExTRI
NFAT5	SLC6A12	1.0	ExTRI;GEREDB
NFAT5	ATM	1.0	ExTRI
GLI2	GLI1	1.0	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TFactS
NRF1	FMR1	1.0	DoRothEA-A;ExTRI;HTRI;SIGNOR;TRRUST
MAX	FMR1	1.0	ExTRI
MYC	FMR1	1.0	ExTRI;TRRUST
USF1	FMR1	1.0	ExTRI;SIGNOR;TRRUST
SP1	NLRP1	1.0	ExTRI
UNCX	UNCX	1.0	ExTRI
ARNT	UNCX	1.0	ExTRI
AR	IL18	1.0	ExTRI
HIF1A	CYGB	1.0	ExTRI;GEREDB
TP53	S100B	1.0	DoRothEA-A;ExTRI;TFactS;TRRUST
STAT1	IL21	1.0	CytReg;ExTRI;TFactS
STAT2	IL21	1.0	CytReg;ExTRI;TFactS
STAT3	IL21	1.0	CytReg;ExTRI;NTNU.Curated;TFactS;TRRUST
SP1	DDIT4	1.0	ExTRI;GEREDB;NTNU.Curated
NFATC2	IL2	1.0	CytReg;ExTRI;GEREDB;IntAct
PDX1	G6PC2	1.0	ExTRI;Pavlidis2021
PAX6	G6PC2	1.0	ExTRI;Pavlidis2021
ETS1	NOS3	1.0	ExTRI;NTNU.Curated
KCNIP3	TG	1.0	ExTRI;NTNU.Curated;TRRUST
KCNIP3	PDYN	-1.0	ExTRI;SIGNOR
NR5A2	NR0B1	1.0	ExTRI
NR0B1	NR5A2	1.0	ExTRI
NR5A2	STAR	1.0	ExTRI;GEREDB;SIGNOR;TRRUST
SMAD2	SMAD7	1.0	ExTRI;NTNU.Curated;TFactS
WT1	STAG2	1.0	ExTRI
NFIC	SGCA	1.0	ExTRI;GEREDB
USF2	THBS1	1.0	ExTRI;TRRUST
USF1	THBS1	1.0	ExTRI;NTNU.Curated
NFATC2	FGF2	1.0	ExTRI
NFATC2	SERPINF1	1.0	ExTRI
NFATC2	CFLAR	1.0	ExTRI
SMAD4	MUC4	1.0	ExTRI;NTNU.Curated
SMAD7	MUC4	-1.0	ExTRI;NTNU.Curated
IRF3	ABCC2	1.0	ExTRI;GEREDB;SIGNOR;TRRUST
TP53	CARM1	1.0	ExTRI;TRRUST
USF1	PF4	1.0	ExTRI;TRRUST
USF2	PF4	1.0	ExTRI;TRRUST
NR1H4	MED1	1.0	ExTRI
HHEX	TLE1	1.0	ExTRI;TRRUST
HHEX	TLE5	1.0	ExTRI
SP1	SMARCC1	1.0	ExTRI;GEREDB
FOS	IL12B	1.0	CytReg;ExTRI
PPARG	IFNG	1.0	CytReg;ExTRI;NTNU.Curated
SMAD2	VEGFA	1.0	ExTRI;GEREDB;NTNU.Curated;TFactS
KAT7	CD4	1.0	ExTRI
NRG1	RBBP8	1.0	ExTRI
CRX	NR2E3	1.0	TRRUST
NR2E3	CRX	1.0	ExTRI;GEREDB
NRL	NR2E3	1.0	ExTRI;GEREDB;TRRUST
NR2E3	NRL	1.0	ExTRI;GEREDB
PPARA	ANGPTL4	1.0	ExTRI;NTNU.Curated;TRRUST
PPARD	ANGPTL4	1.0	ExTRI;NTNU.Curated;TRRUST
PPARG	ANGPTL4	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
CEBPB	PTTG1IP	1.0	ExTRI
RUNX2	PTTG1	1.0	ExTRI;NTNU.Curated
RUNX2	PTTG1IP	1.0	ExTRI;NTNU.Curated
PPARG	GH1	1.0	ExTRI;NTNU.Curated
EPAS1	FLT1	1.0	ExTRI;GEREDB;TRRUST
EPAS1	TEK	1.0	ExTRI;GEREDB
ARNT	FLT1	1.0	ExTRI
HIF1A	FLT1	1.0	ExTRI
MYC	ADM	1.0	ExTRI;GEREDB
MSX1	H1-5	1.0	ExTRI
STAT1	JUN	1.0	ExTRI
STAT2	IFNB1	1.0	ExTRI
STAT2	JUN	1.0	ExTRI
STAT1	IFIT2	1.0	ExTRI;NTNU.Curated
STAT2	IFIT2	1.0	ExTRI;NTNU.Curated
SP1	CDC42BPG	1.0	ExTRI;TRRUST
HIF1A	ATP7A	1.0	ExTRI
ETS1	SOCS1	-1.0	ExTRI;NTNU.Curated
STAT6	SOCS1	1.0	DoRothEA-A;ExTRI;SIGNOR;TRRUST
MYC	TPI1	1.0	ExTRI
FOS	F3	1.0	ExTRI;NTNU.Curated
JUN	F3	1.0	ExTRI;NTNU.Curated;TRRUST
TP53	POLK	-1.0	ExTRI;GEREDB
ELF4	POLK	1.0	ExTRI
PROX1	CYP7A1	-1.0	ExTRI;GEREDB;IntAct;TRRUST
AHR	ESR2	1.0	ExTRI
ESR2	AHR	1.0	ExTRI
SP1	DPYSL2	1.0	ExTRI;NTNU.Curated;TRRUST
NR4A1	HSD3B2	1.0	ExTRI;GEREDB;SIGNOR;TRRUST
MYC	CDK4	1.0	DoRothEA-A;ExTRI;HTRI;IntAct;Pavlidis2021;SIGNOR;TFactS;TRRUST
USF1	CDK4	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated
ESR1	CXCL8	-1.0	CytReg;ExTRI;GEREDB
TP53	EZH2	-1.0	ExTRI;GEREDB;TFactS;TRRUST
EZH2	TP53	-1.0	ExTRI;TRRUST
EZH2	EZH2	1.0	ExTRI
MYB	CNOT9	1.0	ExTRI
E2F3	TNF	1.0	ExTRI
E2F3	TP73	1.0	DoRothEA-A;ExTRI;HTRI
RELA	BGLAP	1.0	ExTRI
TP53	HSPA5	1.0	ExTRI
JUN	MMP2	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
RELA	FASLG	1.0	ExTRI;TRRUST
HNF4A	CDX1	1.0	ExTRI
CDX1	HNF4A	1.0	ExTRI
SP1	KIFBP	1.0	ExTRI
SP1	LIPH	1.0	ExTRI
SP1	MAPK14	1.0	ExTRI
SP3	KIFBP	1.0	ExTRI
SP3	LIPH	1.0	ExTRI
SP3	MAPK14	1.0	ExTRI
GATA1	HBA2	1.0	ExTRI;NTNU.Curated;TRRUST
ESR1	CCNA2	1.0	ExTRI;TRRUST
TP53	ERBB2	1.0	ExTRI
HNF1A	S100G	1.0	ExTRI;GEREDB;NTNU.Curated
CDX2	S100G	1.0	ExTRI;NTNU.Curated
ESR2	SERPINE1	-1.0	ExTRI;TRRUST
ESR1	SERPINE1	1.0	ExTRI;TRRUST
STAT3	IL1RN	1.0	CytReg;ExTRI;GEREDB;NTNU.Curated;SIGNOR;TRRUST
NR5A2	ARG1	1.0	ExTRI
CREB1	IL17A	1.0	ExTRI;GEREDB;NTNU.Curated
SP1	LMNA	1.0	ExTRI
ZFPM2	GATA4	1.0	ExTRI
SOX17	ADRA1D	1.0	ExTRI
SOX17	LAMA1	1.0	ExTRI;GEREDB;NTNU.Curated
SOX7	LAMA1	1.0	ExTRI;GEREDB;NTNU.Curated
SP1	LAMA1	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
SP3	LAMA1	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
EGR1	NR3C1	1.0	ExTRI;NTNU.Curated
HSF1	HSP90AB1	1.0	ExTRI
HSF1	HSPA9	1.0	ExTRI
BHLHE40	FAS	1.0	ExTRI;NTNU.Curated
CEBPG	CCL2	1.0	ExTRI
CREM	GPX4	1.0	ExTRI;GEREDB;TRRUST
TP73	BIRC5	-1.0	ExTRI;GEREDB;TRRUST
EGR1	CREBBP	1.0	ExTRI;NTNU.Curated;Pavlidis2021
TP53	CALM2	1.0	ExTRI
HMGA2	IGF2BP2	1.0	ExTRI;TRRUST
CEBPB	MAP2K1	1.0	ExTRI
JUN	PPP1R15A	1.0	ExTRI;NTNU.Curated
HAND1	TWIST2	1.0	ExTRI
ALX3	SST	1.0	ExTRI
SSRP1	ALB	1.0	ExTRI
MYC	PDGFRB	-1.0	ExTRI;NTNU.Curated
ATF1	POLR2F	1.0	ExTRI
ATF2	POLR2F	1.0	ExTRI
FOS	POLR2F	1.0	ExTRI
JUN	GNRHR	1.0	ExTRI;TFactS
GATA1	HLA-E	1.0	ExTRI;GEREDB;NTNU.Curated
ELF4	PRB1	1.0	ExTRI
IRF1	IL7	1.0	CytReg;ExTRI
IRF2	IL7	-1.0	CytReg;ExTRI
RFX2	RFX2	1.0	ExTRI
LMX1B	EBF1	1.0	ExTRI
LMX1B	ZIC1	-1.0	ExTRI;NTNU.Curated
NFATC2	IL13	1.0	CytReg;ExTRI
NFATC1	IL13	1.0	CytReg;ExTRI
STAT3	ETV6	1.0	TRRUST
ETV6	STAT3	-1.0	ExTRI;NTNU.Curated
TP53	FN1	-1.0	ExTRI;GEREDB
GATA6	PLAU	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
CEBPB	TERF1	1.0	ExTRI
ATF3	PLN	-1.0	ExTRI;NTNU.Curated
PPARA	GK	1.0	ExTRI;NTNU.Curated
PPARA	GPD1	1.0	ExTRI;NTNU.Curated
CREB1	NTRK2	1.0	ExTRI;NTNU.Curated
ETV6	ABCB1	-1.0	ExTRI;NTNU.Curated
RUNX1	ABCB1	1.0	ExTRI
HIF1A	ITGB2	1.0	ExTRI;GEREDB;TFactS;TRRUST
NR6A1	PRM1	1.0	ExTRI
NR6A1	PRM2	1.0	ExTRI;GOA
JUN	REN	1.0	ExTRI;GEREDB;TFactS;TRRUST
RARA	SLC10A2	1.0	ExTRI
SMAD3	BAMBI	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
SMAD4	BAMBI	1.0	ExTRI;NTNU.Curated;TFactS;TRRUST
SOX9	CDX2	-1.0	ExTRI;GEREDB;NTNU.Curated;SIGNOR
SOX9	MUC2	-1.0	ExTRI;NTNU.Curated
CREB1	ATF4	1.0	ExTRI;NTNU.Curated
ATF4	CREB1	-1.0	ExTRI;GEREDB
ATF4	USF1	1.0	ExTRI
USF1	ATF4	1.0	ExTRI
SSRP1	AMY2A	1.0	ExTRI
SSRP1	CP	1.0	ExTRI
STAT3	SREBF1	-1.0	ExTRI;GEREDB;NTNU.Curated
NFKBIZ	IL6	1.0	ExTRI;IntAct
IRF1	TNFSF10	1.0	CytReg;ExTRI;TRRUST
SMAD2	APP	1.0	ExTRI;NTNU.Curated
SMAD3	APP	1.0	ExTRI;NTNU.Curated
USF1	HMOX1	1.0	DoRothEA-A;ExTRI;HTRI;TRRUST
USF2	HMOX1	1.0	DoRothEA-A;ExTRI;GEREDB;HTRI;TRRUST
HHEX	TAGLN	1.0	ExTRI;GEREDB;NTNU.Curated
NFIC	ADRA1D	1.0	ExTRI
ELF1	MAPK14	1.0	ExTRI
ELF1	PI3	1.0	ExTRI
RBPJ	RAB27A	1.0	ExTRI
RBPJ	RBPJ	1.0	ExTRI
EGR1	FGF2	1.0	ExTRI;TRRUST
SP1	PDGFC	1.0	ExTRI;SIGNOR;TRRUST
EGR1	PDGFC	1.0	ExTRI;SIGNOR;TRRUST
RFX5	IFNG	1.0	ExTRI;TRRUST
ESR1	AHR	1.0	ExTRI;TRRUST
AHR	ESR1	1.0	ExTRI
NFATC1	FASTK	1.0	ExTRI
NFATC1	MYH4	-1.0	ExTRI;GEREDB
