source	target	weight	resources
USF2	PDLIM7	1.0	ExTRI;NTNU.Curated
IRF1	SAMHD1	1.0	ExTRI;GEREDB
IRF2	SAMHD1	1.0	ExTRI
IRF1	IFNG	1.0	ExTRI;TRRUST
IRF1	NOS2	1.0	ExTRI;GEREDB;NTNU.Curated
IRF2	NOS2	-1.0	ExTRI;NTNU.Curated
SP1	FASLG	1.0	DoRothEA-A;ExTRI;HTRI;NTNU.Curated;TFactS;TRRUST
SP3	FASLG	1.0	ExTRI
AR	PRKACA	1.0	ExTRI
AR	KLK3	1.0	DoRothEA-A;ExTRI;GOA;HTRI;NTNU.Curated;SIGNOR;TFactS;TRRUST
AR	ARR3	1.0	ExTRI
CUX1	CFTR	1.0	ExTRI;GEREDB;TRRUST
ATF1	CFTR	1.0	ExTRI;GEREDB;TRRUST
KAT7	CFTR	1.0	ExTRI
CREBZF	GAST	1.0	ExTRI
SP1	GAST	1.0	DoRothEA-A;ExTRI;HTRI;TRRUST
GLI3	GLI1	1.0	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TFactS
NKX2-5	NPPA	1.0	ExTRI;NTNU.Curated
GATA4	NPPA	1.0	ExTRI;GEREDB;NTNU.Curated;TFactS;TRRUST
TGFB1I1	AR	1.0	ExTRI
AR	TGFB1I1	1.0	ExTRI
RARB	MMP11	1.0	ExTRI
RARG	MMP11	1.0	ExTRI
RARB	RARG	-1.0	ExTRI;GEREDB
RARG	RARB	1.0	ExTRI;TRRUST
JUN	CCL5	1.0	CytReg;ExTRI;GEREDB;TFactS;TRRUST
RELA	CD40	1.0	ExTRI;TRRUST
RELA	IFNG	1.0	CytReg;DoRothEA-A;ExTRI;GEREDB;HTRI;TRRUST
TEAD1	TGFA	1.0	ExTRI;NTNU.Curated
TFAP2A	TGFA	1.0	ExTRI
PPARA	NR1D1	1.0	ExTRI;NTNU.Curated
ESR2	RARA	1.0	ExTRI
ESR1	RARA	1.0	DoRothEA-A;ExTRI;GEREDB;GOA;TRRUST
RARA	ESR1	1.0	ExTRI
NR3C1	IRS2	1.0	ExTRI;NTNU.Curated
PGR	IRS2	1.0	ExTRI;GEREDB;NTNU.Curated;TRRUST
NRG1	UTRN	1.0	ExTRI
